fact_id,module,entity,sources,source_count,metric,record_count,value,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,years_with_data,query_ref,verified_at
CROSS-TOP-048,integraal,Ons Middelbaar Onderwijs,"Financiële instrumenten, Gemeentelijke subsidieregisters",2,cross_module_total,233,4601849026,3286000,463082000,500841026,607482000,531406000,577364000,619170000,640272000,658946000,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-049,integraal,Centraal Orgaan opvang asielzoekers (COA),Financiële instrumenten,1,cross_module_total,7,4531035000,1115249000,868401000,0,0,0,0,25000,2547197000,163000,5,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-050,integraal,Memoriaal boeking,Financiële instrumenten,1,cross_module_total,75,4375237000,0,0,0,4374550000,687000,0,0,0,0,2,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-051,integraal,Universiteit Leiden,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,cross_module_total,293,4329749761,2117000,402955988,444581791,465685366,498318236,557686088,616232800,662404703,679767789,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-052,integraal,NWO Ned Org Wetensch Onderz,Financiële instrumenten,1,cross_module_total,51,4094234000,0,0,976668000,1013314000,952827000,0,1151425000,0,0,4,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-053,integraal,gemeente Groningen,"Financiële instrumenten, Gemeentelijke subsidieregisters, Provinciale subsidieregisters, Publiek",4,cross_module_total,337,4038849502,6166000,5926000,10002,24133002,27704001,964219002,880502003,1012364484,1117825008,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-054,integraal,Technische universiteit Delft,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,cross_module_total,721,4003963936,2187480,6362952,428033240,486451205,518572582,572188569,617755829,678386602,694025477,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-055,integraal,Utrecht,"Financiële instrumenten, Inkoopuitgaven",2,cross_module_total,34,3831175000,0,864931000,925532000,992883000,1047829000,0,0,0,0,4,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-056,integraal,Erasmus Universiteit Rotterdam,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Publiek",4,cross_module_total,144,3776820819,1312000,353429000,393058000,407411385,432968765,481234337,531124731,574916843,601365758,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-057,integraal,Gemeente tilburg,"Financiële instrumenten, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",4,cross_module_total,442,3384343902,18205889,16577964,15986654,23225409,32048623,774011468,749451491,896936023,857900381,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-058,integraal,gemeente Eindhoven,"Financiële instrumenten, Gemeentelijke subsidieregisters, Provinciale subsidieregisters, Publiek",4,cross_module_total,199,3346166184,4494803,5947232,0,145298,9998681,802929533,751555075,898002564,873092998,8,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-059,integraal,Metropoolregio Rotterdam Den Haag,Financiële instrumenten,1,cross_module_total,15,3030827000,502577000,82338000,571395000,612044000,0,645637000,0,616836000,0,6,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-060,integraal,Rijksdienst voor ondernemend Nederland,"Financiële instrumenten, Provinciale subsidieregisters",2,cross_module_total,464,2993109263,52867,357751,22187298,894796,0,1722253768,405849000,306357783,535156000,8,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-061,integraal,gemeente Nijmegen,"Financiële instrumenten, Provinciale subsidieregisters, Publiek",3,cross_module_total,396,2986469184,10424568,17507772,16208862,11986148,31718579,647629128,642189709,823196401,785608017,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-062,integraal,Groningen,"Financiële instrumenten, Inkoopuitgaven",2,cross_module_total,32,2972465000,0,687143000,742166000,765081000,778075000,0,0,0,0,4,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-063,integraal,Immigratie- en Naturalisatiedienst,Financiële instrumenten,1,cross_module_total,6,2959047000,0,0,359742000,0,0,492398000,527678000,774066000,805163000,5,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-064,integraal,The World Bank,Financiële instrumenten,1,cross_module_total,135,2945496000,112482000,144467000,442247000,243484000,379064000,385123000,358645000,430219000,449765000,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-065,integraal,gemeente Arnhem,"Financiële instrumenten, Provinciale subsidieregisters, Publiek",3,cross_module_total,381,2893596276,12529034,8865529,3098688,17162597,20451732,673363253,658822253,744439913,754863277,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-066,integraal,Ontvanger Uitg.gemeenten en kaderwetgeb.,Financiële instrumenten,1,cross_module_total,1,2881223000,0,0,2881223000,0,0,0,0,0,0,1,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-067,integraal,Stichting Fontys,"Financiële instrumenten, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",4,cross_module_total,131,2870129551,1263000,262491000,307180000,313860079,320437000,400437000,430562509,420854963,413044000,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-068,integraal,gemeente Almere,"Financiële instrumenten, Inkoopuitgaven, Publiek",3,cross_module_total,226,2844134012,7637000,7233000,30001,12610001,23570001,630712001,663620001,749806002,748916005,9,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-069,integraal,Rijkswaterstaat,"Financiële instrumenten, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",4,cross_module_total,159,2771752549,0,1060000,2488669493,0,0,122088249,65342395,67575410,27017002,6,Q-CROSS-01,2026-03-02T19:28:34Z
CROSS-TOP-070,integraal,Stichting Lucas Onderwijs,"Financiële instrumenten, Gemeentelijke subsidieregisters, Inkoopuitgaven, Provinciale subsidieregisters, Publiek",5,cross_module_total,849,2712325878,811000,233742251,261771288,277415741,291102290,350969086,404946168,447907522,443660532,9,Q-CROSS-01,2026-03-02T19:28:34Z
