fact_id,begrotingsnaam,kostensoort,jaar,bedrag
APP-235,Economische zaken en Klimaat,Advisering opdrachtgevers over automatiseringsvraagstukken,2023,27508000
APP-236,Binnenlandse zaken en Koninkrijksrelaties,Uitzendkrachten,2024,27490000
APP-237,Financiën,Aanschaf hardware,2022,27355000
APP-238,Binnenlandse zaken en Koninkrijksrelaties,BZK Specifiek,2023,27175000
APP-239,Economische zaken en Klimaat,Advisering en eventueel explorerend onderzoek,2023,26742000
APP-240,Buitenlandse Zaken,Sociale lasten en bijdrage zorgverzekeringswet,2022,26709000
APP-241,Justitie en Veiligheid,"Studie en opleiding
",2024,26605000
APP-242,"Onderwijs, Cultuur en Wetenschap",Bijdrage SSO,2022,26246000
APP-243,Infrastructuur en Waterstaat,Inrichting gebouwen,2022,26164000
APP-244,Justitie en Veiligheid,Reis- en Verblijfkosten,2024,25460000
APP-245,Infrastructuur en Waterstaat,Advisering opdrachtgevers over automatiseringsvraagstukken,2022,25392000
APP-246,Binnenlandse zaken en Koninkrijksrelaties,Sociale lasten en bijdrage zorgverzekeringswet,2023,25386000
APP-247,Buitenlandse Zaken,Uitzendkrachten,2023,24814000
APP-248,Defensie,Wachtgelden,2023,24799000
APP-249,Justitie en Veiligheid,Organisatie- en formatieadvies,2024,24617000
APP-250,Justitie en Veiligheid,Uitzendkrachten,2024,24570000
APP-251,Infrastructuur en Waterstaat,Reis- en Verblijfkosten,2024,24507000
APP-252,Economische Zaken en Klimaat,Bijdragen aan baten-lastendiensten,2022,24500000
APP-253,Economische zaken en Klimaat,Advisering opdrachtgevers over automatiseringsvraagstukken,2024,24451000
APP-254,Financiën,Verblijf extern,2024,24179000
APP-255,Justitie en Veiligheid,Studie en opleiding,2023,24175000
APP-256,"Onderwijs, Cultuur en Wetenschap",Sociale lasten en bijdrage zorgverzekeringswet,2023,24165000
APP-257,Justitie en Veiligheid,"Advisering en eventueel explorerend onderzoek dat wordt verricht ten behoeve van nieuw beleid, dan wel bijstelling van bestaand beleid (toekomstgericht). ",2024,24146000
APP-258,Justitie en Veiligheid,Reis- en verblijfskosten,2023,23944000
APP-259,Infrastructuur en Waterstaat,Studie en opleiding,2023,23798000
APP-260,Financiën,Uitbesteden beleidsadvies,2023,23740000
APP-261,"Onderwijs, Cultuur en Wetenschap",Bijdrage SSO,2024,23627000
APP-262,Financiën,Uitbesteden beleidsadvies- en onderzoeksopdrachten,2024,23586000
APP-263,Defensie,Facilitair en huisvesting,2023,23277000
APP-264,Buitenlandse Zaken,Gebruik en onderhoud gebouw en terreinen,2024,23164000
APP-265,Buitenlandse Zaken,Uitzendkrachten,2022,23067000
APP-266,Infrastructuur en Waterstaat,Reis- en verblijfskosten,2023,22508000
APP-267,Infrastructuur en Waterstaat,"Beheer, onderhoud programmatuur & software",2024,22464000
APP-268,Justitie en Veiligheid,Organisatie- en formatieadvies,2022,22423000
APP-269,Justitie en Veiligheid,Beheer en onderhoud infrastructuur,2023,22013000
APP-270,Buitenlandse Zaken,Reis- en verblijfskosten,2022,21925000
APP-271,"Ministerie van Volksgezondheid, Welzijn en Sport",Inhuur acc/fin/ao,2023,21695000
APP-272,Justitie en Veiligheid,Organisatie- en formatieadvies,2023,21660000
APP-273,"Onderwijs, Cultuur en Wetenschap",Bijdrage SSO,2023,21641000
APP-274,Infrastructuur en Waterstaat,Uitbesteding capaciteit organisatie- en formatieadvies,2022,21604000
APP-275,Binnenlandse zaken en Koninkrijksrelaties,Sociale lasten en bijdrage zorgverzekeringswet,2022,20876000
APP-276,Buitenlandse Zaken,Advisering opdrachtgevers over automatiseringsvraagstukken,2023,20693000
APP-277,Binnenlandse zaken en Koninkrijksrelaties,Uitzendkrachten,2023,20629000
APP-278,Algemene Zaken,"Salaris, vakantie en eindejaarsuitkering",2023,20584000
APP-279,Infrastructuur en Waterstaat,"Advisering en eventueel explorerend onderzoek dat wordt verricht ten behoeve van nieuw beleid, dan wel bijstelling van bestaand beleid (toekomstgericht). ",2024,20496000
APP-280,Buitenlandse Zaken,Eindheffing loonbelasting,2024,20274000
APP-281,"Onderwijs, Cultuur en Wetenschap","Toelagen, toeslagen en vergoedingen",2024,20270000
APP-282,Infrastructuur en Waterstaat,Advisering en eventueel explorerend onderzoek,2023,20259000
APP-283,Justitie en Veiligheid,Uitbesteden beleidsadvies- en onderzoeksopdrachten,2024,20218000
APP-284,Financiën,Risicobeheersen,2022,20173000
APP-285,"Ministerie van Volksgezondheid, Welzijn en Sport",INHUUR ACC/FIN/AO,2024,20135000
APP-286,Financiën,Schoonmaakkosten,2022,20113000
APP-287,Financiën,Wagenpark,2024,19933000
APP-288,"Onderwijs, Cultuur en Wetenschap",Sociale lasten en bijdrage zorgverzekeringswet,2022,19211000
APP-289,Defensie,externe inhuur bewaking en beveiliging,2024,19175000
APP-290,Economische zaken en Klimaat,Interim–management,2024,19133000
APP-291,Financiën,Spraak en Data Verbindingen,2023,19063000
APP-292,Buitenlandse Zaken,Advisering opdrachtgevers over automatiseringsvraagstukken,2022,18931000
APP-293,Defensie,Externe inhuur overig,2024,18884000
APP-294,"Onderwijs, Cultuur en Wetenschap","Toelagen, toeslagen en vergoedingen",2023,18560000
APP-295,Buitenlandse Zaken,Gebruik en onderhoud van gebouw en terreinen,2023,18538000
APP-296,Justitie en Veiligheid,Studie en opleiding,2022,18482000
APP-297,Infrastructuur en Waterstaat,Studie en opleiding,2022,18449000
APP-298,Financiën,Gratificaties,2024,18405000
APP-299,Justitie en Veiligheid,Departement specifiek materieel,2022,18338000
APP-300,Algemene Zaken,"Salaris, vakantie en eindejaarsuitkering",2022,18308000
