fact_id,ontvanger,jaar,bedrag,descriptor,source
PUB-381,Ocean Grazer B.V.,2022,499094,Ocean Battery: a sustainable and cost-effective energy storage technology,NWO
PUB-382,Genewity B.V.,2023,499012,Eurostars,RVO
PUB-383,Orthros Medical B.V.,2023,498750,Eurostars,RVO
PUB-384,Protinhi Therapeutics,2022,498563,Eurostars,RVO
PUB-385,Sustainer Homes B.V.,2022,498299,Kennis en Innovatie Agenda-Circulaire Economie (KIA CE),RVO
PUB-386,AgriData Innovations b.v.,2022,498206,Eurostars,RVO
PUB-387,PERSUASIVE B.V.,2023,498098,Eurostars,RVO
PUB-388,3DUniversum BV,2022,497618,Eurostars,RVO
PUB-389,Delta Diagnostics B.V.,2023,496993,Eurostars,RVO
PUB-390,AntenneX BV,2023,496768,High-volume test equipment for 6G software antennas,NWO
PUB-391,Stichting Maastricht Radiation Oncology  -Maastro Clinic,2022,496589,Eurostars,RVO
PUB-392,Aiosyn,2023,496586,Eurostars,RVO
PUB-393,Asthmaware,2023,496359,Eurostars,RVO
PUB-394,Da Vinci laboratory solutions B.V.,2022,496138,Eurostars,RVO
PUB-395,MUD Jeans International B.V.,2022,495393,Kennis en Innovatie Agenda-Circulaire Economie (KIA CE),RVO
PUB-396,Stichting 113Online,2022,495000,The STRENGTH project: Adaptation and implementation of suicide prevention efforts for middle-aged men in the Netherlands,ZonMW
PUB-397,GGZ Centraal,2023,494984,"Een impuls aan de door- en uitstroom in de regio Utrecht: van instellingsaanpak naar netwerkaanpak door middel van visievorming, dataanalyse en samenwerkafspraken",ZonMW
PUB-398,Stichting Wetenschappelijk Onderzoek Verkeersveiligheid Swov,2024,494932,Alcohol in het verkeer: maatschappelijke impact en passende preventieve en repressieve interventies,ZonMW
PUB-399,Single Quantum B.V.,2022,494450,Eurostars,RVO
PUB-400,Wageningen University,2024,494257,Interventie Modellering & Bayesiaanse Inferentie van transmissieroutes aan de start van een Pandemie,ZonMW
PUB-401,Onicor BV,2022,494194,Eurostars,RVO
PUB-402,Leids Universitair Medisch Centrum (LUMC)  - DIAZ,2024,493448,"FUSION: een familie multi-statemodellen om dynamiek, sterfte en lasten van pandemie te voorspellen",ZonMW
PUB-403,Radboudumc,2022,492252,Eurostars,RVO
PUB-404,Photosynthetic,2022,491850,Eurostars,RVO
PUB-405,Delft Circuits B.V.,2023,490770,Eurostars,RVO
PUB-406,Predica Diagnostics BV,2022,490320,Eurostars,RVO
PUB-407,HeartEye B.V,2023,490025,Eurostars,RVO
PUB-408,Digi.bio B.V.,2022,490000,Eurostars,RVO
PUB-409,Sorama B.V.,2022,487575,Eurostars,RVO
PUB-410,Universiteit van Amsterdam,2023,486903,Aspasia 2021 ,NWO
PUB-411,St Kenniscentrum Phrenos,2024,485605,Beter omgaan met hoogcomplex onbegrepen gedrag,ZonMW
PUB-412,Stichting Bartimeus Sonneheerdt,2022,484993,A personal sensory navigation profile: A novel tool to predict successful use of sensory information during navigation in visually impaired individuals,ZonMW
PUB-413,Stichting MESO,2023,484876,Vervolg en afronding MESO-project,ZonMW
PUB-414,Gemeente Ede,2024,483972,Beweegroutes in Ede,ZonMW
PUB-415,Zorgbelang Inclusief,2024,482648,Caolitievorming ter voorbereiding op participatie hubs Regio Noord Veluwe,ZonMW
PUB-416,WSK Medical,2023,480695,Eurostars,RVO
PUB-417,GECCO Biotech B.V.,2023,478530,Eurostars,RVO
PUB-418,CardiacBooster,2022,477963,Eurostars,RVO
PUB-419,CimCure BV,2022,477938,Eurostars,RVO
PUB-420,Roessingh Research and Development,2022,477877,Eurostars,RVO
PUB-421,Stanford University,2023,476962,“Automated anatomical naming of blood vessels and blood flow analyses in digital subtraction angiography during endovascular treatment of patients with acute ischemic stroke”,ZonMW
PUB-422,Verwey Jonker Instituut,2022,475404,Burn-out bij werknemers binnen de jeugdzorg: Nieuwe kansen voor re-integratie 2e spoor door inzet van Virtual Reality?,ZonMW
PUB-423,Academisch Medisch Centrum,2022,473754,Eurostars,RVO
PUB-424,Blue Radix B.V.,2023,471820,Eurostars,RVO
PUB-425,Stichting Radboud Universiteit,2023,469519,Eurostars,RVO
PUB-426,Train.Red,2023,464300,Eurostars,RVO
PUB-427,Nederlands Bijwerkingen Centrum Lareb,2023,464093,De implementatie van reeds bestaande kennis over genees- en zelfzorgmiddelen rondom de zwangerschap om deze laagdrempelig beschikbaar en toegankelijk te maken voor zwangere of lacterende vrouwen en hun zorgverleners,ZonMW
PUB-428,Gemeente Almelo,2024,464065,Almelo sport buiten,ZonMW
PUB-429,GGDRU (GGD regio Utrecht),2022,463910,Integraal Gezondheidsonderzoek bij Rampen – COVID-19 Fase 2,ZonMW
PUB-430,Kennisinstituut van Medische Specialisten,2022,463667,Addendum Overkoepelend deel Kennisinstituut,ZonMW
PUB-431,Nostics,2023,458100,Eurostars,RVO
PUB-432,Stichting Ziekenhuis Gelderse Vallei,2023,457744,Coördineren van het (regionale) Sportinnovator netwerk - versterking positionering centrum,ZonMW
PUB-433,St Studeren & Werken Op Maat,2022,455395,De SWOM Academie breidt uit naar Gelderland en Friesland,ZonMW
PUB-434,Stichting GGNET,2023,455360,Regio-Impuls 8RHK Gezond,ZonMW
PUB-435,St. Toekomst voor de Buurtjeugd,2022,453625,Young Leaders in actie,ZonMW
PUB-436,PamGene International B.V.,2022,451000,Eurostars,RVO
PUB-437,Gemeente Dordrecht,2023,450896,MDT Missie Nationale Sportweek,ZonMW
PUB-438,Cellcius B.V.,2023,450542,Eurostars,RVO
PUB-439,Liquidseal Flowers BV,2023,450039,Eurostars,RVO
PUB-440,Gemeente Zaanstad,2022,449930,Een goede inrichting van gegevensverwerking als randvoorwaarde voor de verbetering van de sturing en samenwerking binnen het netwerk van Zorg en Veiligheid in Zaanstreek-Waterland,ZonMW
PUB-441,Optometristen Vereniging Nederland,2024,449900,Kwaliteitskader Passende Oogzorg,ZonMW
PUB-442,Photon IP B.V.,2023,448188,Eurostars,RVO
PUB-443,Onderlinge Waarborgmaatschappij Zorgverzekeraar Zorg en Zekerheid U.A.,2023,448093,Opstellen Regioplan Amstelland,ZonMW
PUB-444,Mellon Medical B.V.,2023,446255,Eurostars,RVO
PUB-445,Lapsi Health B.V.,2022,446125,Eurostars,RVO
PUB-446,Amsterdam Scientific Instruments,2022,444554,Eurostars,RVO
PUB-447,Praxa Sense,2022,444538,Eurostars,RVO
PUB-448,Stichting Amsta,2024,440275,"wie heeft het voor het zeggen""?: betekenisvolle relaties en samenwerking met het informele netwerk",ZonMW
PUB-449,GGD Zuid-Limburg,2023,436561,Versterking kennis- en adviesfunctie van GGD Zuid Limburg voor betere implementatie van Keigezond Limburg,ZonMW
PUB-450,Stichting Saga Interproject,2022,435610,Rebalancing Society,ZonMW
PUB-451,Zavhy B.V.,2023,434614,Kennis en Innovatie Agenda-Circulaire Economie (KIA CE),RVO
PUB-452,ExRobotics B.V.,2022,433532,Eurostars,RVO
PUB-453,GG&GD Zeeland jeugdgezondheidszorg,2024,431462,Organiseren en monitoren van groepsleerprocessen,ZonMW
PUB-454,Stichting Lumens,2022,430540,Pak de VIBE,ZonMW
PUB-455,Erasmus Universiteit Rotterdam,2022,429731,Sociale Impact in tijden van Corona. Doorontwikkeling van het thema Sociale Cohesie t.b.v. het Dashboard Sociale Impact Corona,ZonMW
PUB-456,Libreon,2024,429436,Christoffel MDT Libreon Groen & Duurzaam,ZonMW
PUB-457,Serendipity BV,2023,425800,Eurostars,RVO
PUB-458,Gemeente Enschede,2024,422118,Speaking Minds MDT-kort Enschede,ZonMW
PUB-459,Stichting Vitaal Vechtdal,2024,418968,Versterken gezondheidsinfrastructuur Vitaal Vechtdal,ZonMW
PUB-460,GGD IJsselland,2023,417882,Regionale Kenniswerkplaats Psychische Gezondheid en Onbegrepen Gedrag IJsselland,ZonMW
PUB-461,De Omring,2024,412764,Noord-Holland Noord Gezond als dé Regiotafel voor gezondheid van de inwoners Noord-Holland Noord,ZonMW
PUB-462,Stichting Solidair Friesland,2022,412500,Friend4Friend Noord Nederland,ZonMW
PUB-463,Smart-ship,2023,412100,Eurostars,RVO
PUB-464,Stichting Laurens,2024,411959,BAMM: Beter Af Met Minder,ZonMW
