fact_id,ontvanger,jaar,bedrag,descriptor,source
PUB-001,Air Liquide Industrie B.V.,2022,292201695,IPCEI Waterstof,RVO
PUB-002,Rotterdam Hydrogen Company B.V.,2022,150000000,IPCEI Waterstof,RVO
PUB-003,Engie Energie Nederland N.V.,2022,113090000,IPCEI Waterstof,RVO
PUB-004,Orsted Hydrogen Netherlands Holding B.V.,2022,110804896,IPCEI Waterstof,RVO
PUB-005,H2-Fifty B.V.,2022,103006383,IPCEI Waterstof,RVO
PUB-006,Koninklijke Visio,2023,68669642,A haptic framework for teaching mathematical equations to Braille readers,ZonMW
PUB-007,SURF - Coöperatie SURF U.A.,2024,42074965,Nederlandse bijdrage ,NWO
PUB-008,Koninklijke Kentalis,2023,38496216,Deelkracht 2023-2026,ZonMW
PUB-009,AZL/LUMC p/a Projectenbureau Leiden,2024,37503195,"‘NOTCH3-brains@risk: the severe, the mild, and the unknown’",ZonMW
PUB-010,Radboudumc,2024,34424891,‘Evaluatie en optimalisatie van Mindfulness-Based Cognitive Therapy implementatie in tweedelijns GGZ’,ZonMW
PUB-011,Erasmus MC (UMCR),2024,33785345,‘Finding novel routes to penetrate the mycetoma grain (PENEGRAIN)’,ZonMW
PUB-012,Radboudumc,2023,29388192,"‘Validation and Market Transfer of the Novel Cardiovascular Stress Management Program: ôWavyô through a multicenter randomized controlled trial, aimed to reduce symptoms of both males and females with coronary vascular dysfunction, followed by market",ZonMW
PUB-013,UMC Utrecht (UMCU),2024,27386389,‘Building growth charts of Superficial White Matter microstructure’,ZonMW
PUB-014,SURF - Coöperatie SURF U.A.,2022,27037400,SURF 2022 extra middelen,NWO
PUB-015,AMC Medical Research BV,2024,26863287,‘Diepe hersenstimulatie effectiever maken door toepassen van 7 Tesla MRI en magnetoencefalografie’,ZonMW
PUB-016,"Amsterdam UMC, locatie VUmc",2023,24629634,A Dutch Implementation of the Physical Activity Environment Policy Index (PA-EPI),ZonMW
PUB-017,HVC Warmte B.V.,2023,22848000,Warmtenetten Investeringssubsidie (WIS),RVO
PUB-018,AMC Medical Research BV,2023,22558331,"Adaptatie aan orthesen met behulp van looptraining, wat kan er beter?",ZonMW
PUB-019,Nedstack Fuel Cell Technology B.V.,2022,21736099,IPCEI Waterstof,RVO
PUB-020,UMC Utrecht (UMCU),2023,20398663,‘Bonding molecular genotyping and phenotyping to outcome measures in AL amyloidosis: A EUropean REgistry and sample sharing networK to promote the diagnosis and management of light chain Amyloidosis’,ZonMW
PUB-021,Erasmus MC (UMCR),2023,20084003,Anti-Inflammatory Pharmacotherapy for Prevention of Non-Atherosclerotic Vascular Aging: A Systematic Review and Meta-Analysis of Animal Studies,ZonMW
PUB-022,AMC Medical Research BV,2022,20059088,A cholestatic itch mouse model with state-of-the-art scratch monitoring for the identification of pruritogens in cholestatic liver diseases,ZonMW
PUB-023,Technische Universiteit Delft,2023,18855602,Advanced Sensor Validation for Autonomous Driving,NWO
PUB-024,"Amsterdam UMC, locatie VUmc",2024,17551756,’PROPr: Bepaling van een landspecifieke waardeset voor het preferentiesysteem van PROMIS,ZonMW
PUB-025,UMCG,2024,17507326,A (WO)MEN’S WORLD: GENDERED STIGMATIZATION OF PERSISTENT SOMATIC SYMPTOMS,ZonMW
PUB-026,AZL/LUMC p/a Projectenbureau Leiden,2023,17316785,‘Commensal Immune Modulators (CIM) boost PROtective immunity against respiratory Viral infections (CIMPROV)’,ZonMW
PUB-027,Universiteit Maastricht,2024,17215074,‘BrainAct’,ZonMW
PUB-028,UMCG,2023,17110089,A role of microbiome in the pathogenesis of ME/CFS: a population-based study,ZonMW
PUB-029,Twence Duurzaam B.V.,2023,17046120,Warmtenetten Investeringssubsidie (WIS),RVO
PUB-030,SKMS 2,2024,16859578,Kwaliteitsgelden Medisch Specialisten 2024.1 oncologie,ZonMW
PUB-031,ENECO Warmtenetten B.V.,2023,16788370,Warmtenetten Investeringssubsidie (WIS),RVO
PUB-032,Erasmus MC (UMCR),2022,16416184,"Als Your World stress verlaagd bij zorgmedewerkers, dan kan het buiten het ziekenhuis helpen! (Your World: een app-based vitaliteits-programma gemaakt voor werknemers, door werknemers)",ZonMW
PUB-033,SKMS 2,2022,15614074,Kwaliteitsgelden medisch Specialistische Zorg (SRI): Onderhouden Richtlijnen Infectie Preventie 2022,ZonMW
PUB-034,Onbekend,2022,15330032,Onderzoeken en ontwikkelen innovaties voor stallen,RVO
PUB-035,Radboudumc,2022,15172317,A novel malaria vaccine strategy using programmed suicide of Plasmodium falciparum parasites,ZonMW
PUB-036,Fluidwell Hydrogen Systems B.V.,2024,14937899,Investeringssubsidie maakindustrie klimaatneutrale economie (IMKE),RVO
PUB-037,H2Ermes B.V.,2022,14397026,IPCEI Waterstof,RVO
PUB-038,Firan B.V.,2023,14295681,Warmtenetten Investeringssubsidie (WIS),RVO
PUB-039,SKMS 2,2023,14194657,Kwaliteitsgelden Medisch Specialisten onco 2023 - oktober 2023,ZonMW
PUB-040,Universiteit Twente,2022,13750964,Accumulation-Mode BIdiswitch FArm for energy efficient battery chargers (AMBIFAlent),NWO
PUB-041,Universiteit Maastricht,2023,11553175,“Investigating the effects of beta event-related synchronization modulation on motor function recovery and GABA inhibition: towards an individualized neuromodulation-based treatment for stroke patients”,ZonMW
PUB-042,Stichting Oncode Institute,2023,11500000,Oncode Phase 2,ZonMW
PUB-043,UMCG,2022,11214263,An unfinished symphony: incomplete DNA replication as a therapeutic target in cancer.,ZonMW
PUB-044,AZL/LUMC p/a Projectenbureau Leiden,2022,10496791,Active vitamin D for secondary hyperparathyroidism after bariatric surgery: a randomized controlled trial,ZonMW
PUB-045,Universiteit Maastricht,2022,10091045,Academische Werkplaats ouderenzorg Limburg,ZonMW
PUB-046,"Amsterdam UMC, locatie VUmc",2022,9754668,4D FUTURE - Detecting and diagnosing dementia using digital tools; the future patient journey,ZonMW
PUB-047,Technische Universiteit Delft,2022,9156829,3D printed leachable Salt Templates: From Aerospace Materials to Cell Scaffolds,NWO
PUB-048,Universiteit Leiden,2023,8662131,Aspasia 2021 ,NWO
PUB-049,Universiteit Utrecht,2023,8541999,Breast milk extracellular vesicles for baby brains (EV4BB): Deciphering and exploiting the anti-inflammatory and regenerative effects on brain cells,ZonMW
PUB-050,Vrije Universiteit Amsterdam (VUA) Faculteit ALW,2023,8151091,Explaining skeletal muscle-related symptoms in patients with ME/CFS: from skeletal muscle to exercise immunology (MuscleME),ZonMW
PUB-051,Technische Universiteit Delft,2024,7737513,Accurate Control of Aerial Robotic Manipulators under Uncertainties,NWO
PUB-052,Morssinkhof Plastics Lichtenvoorde B.V.,2024,7469609,Subsidie Circular Plastics NL,RVO
PUB-053,Stichting Projectenbureau PGVNL,2022,7388855,Corona Gezondheidsmonitor Jeugd 2021 en opzetten COVID-19 programma,ZonMW
PUB-054,V&VN Eerstelijnsverpleegkundigen,2024,7039032,Kwaliteitsgelden Verpleging & Verzorging Subsidieaanvraag Juli 2024 - IZA,ZonMW
PUB-055,Academisch Ziekenhuis Maastricht (AZM),2024,7034953,Citrien-3: verkleinen gezondheidsachterstanden: kansen en bedreigingen van digitale zorg,ZonMW
PUB-056,Warmtebedrijf Amersfoort B.V.,2023,7020000,Warmtenetten Investeringssubsidie (WIS),RVO
PUB-057,Universiteit Utrecht,2023,6923580,Aspasia 2021 ,NWO
PUB-058,Universiteit Leiden,2022,6777575,Aspasia 2019,NWO
PUB-059,Vrije Universiteit Amsterdam,2024,6448022,"Co-creation and evaluation of a Combined Lifestyle Intervention for Patients recovering from Cancer with the aim to increase Positive health Quality of life and Vitality, while taking Health literacy into account (short title: CLI after cancer)",ZonMW
PUB-060,Technische Universiteit Eindhoven - Eindhoven University of Technology,2022,5846842,Docent van het jaar 2022,NWO
PUB-061,AKWA GGZ,2024,5790000,Akwa GGZ Jaarplan 2024 | Activiteiten ter ondersteuning van continue kwaliteitsverbetering in de ggz,ZonMW
PUB-062,Universitair Medisch Centrum Utrecht,2022,5722034,A.I.-driven ultrasound theranostics in cancer of head and neck (SOUND-CHECK),NWO
PUB-063,Biomarker Bay B.V.,2024,5696575,G² Solutions,ZonMW
PUB-064,TNO Accounts Receivable,2024,5575744,‘INoVA: an information hub for innovative non-in vivo alternatives’,ZonMW
PUB-065,St Alzheimer Nederland,2023,5200000,"DEMPACT / Valorisatie: integratie onderzoek, onderwijs en praktijk",ZonMW
PUB-066,Universiteit Twente,2023,5168744,AluviaPhotonics: enabling UV photonic integrated circuits,NWO
PUB-067,Ministerie van VWS (RIVM),2022,4923850,Integraal Gezondheidsonderzoek bij Rampen - COVID-19 Fase 2 RIVM/ Integrated Public Health Monitor - COVID-19 Phase2 RIVM,ZonMW
PUB-068,NIVEL,2024,4840278,Gezondheid en werk na COVID-19 in mensen met bestaande gezondheidsproblemen: geleerde lessen,ZonMW
PUB-069,AKWA GGZ,2023,4780608,"Akwa GGZ jaarplan 2023. Activiteiten ter ondersteuning van continue kwaliteitsverbetering in de ggz. Ontwikkelen, onderhoud en implementatieondersteuning van kwaliteitsstandaarden, ondersteunen van datagedreven leren en lerende netwerken in de ggz",ZonMW
PUB-070,DPI,2024,4755135,Subsidie Circular Plastics NL,RVO
PUB-071,Wageningen University & Research,2023,4542867,10th European Plant Science PhD Retreat (EPSR) 2023,NWO
PUB-072,Nanoworx B.V.,2024,4445654,Nanoworx,ZonMW
PUB-073,UMC Utrecht (UMCU),2022,4422252,Aangeboren aandoeningen bij de foetus: samen beslissen en ondersteunen met behulp van PROMs’.,ZonMW
PUB-074,Wageningen University & Research,2022,4380705,Natural flocculants,NWO
PUB-075,St Universiteit van Tilburg,2024,4336622,begroting 2024 en toelichting Academische Werkplaats Ouderenzorg Tranzo,ZonMW
PUB-076,Universitair Medisch Centrum Utrecht,2023,4323460,A brain wave inspired by global mean sea-level rise: A unique way to measure the tides and flows of brain clearance in humans non-invasively.,NWO
PUB-077,Nederlands Huisartsen Genootschap,2024,4206381,Kwaliteitsgelden Thuisarts 2024,ZonMW
PUB-078,AKWA GGZ,2022,4192066,Kwaliteitsgelden GGZ: Akwa GGZ 2022,ZonMW
PUB-079,Erasmus Universiteit Rotterdam,2024,4142758,"Als je het ons vraagt, dan: leren en verbeteren met naasten, vrijwilligers, cliënten en medewerkers",ZonMW
PUB-080,Nederlands Huisartsen Genootschap (NHG),2023,4105178,Kwaliteitsgelden NHG 2023,ZonMW
PUB-081,Technische Universiteit Eindhoven - Eindhoven University of Technology,2023,4075211,21st International Conference on Software Engineering and Formal Methods,NWO
PUB-082,Nederlands Huisartsen Genootschap (NHG),2024,3956787,Kwaliteitsgelden NHG 2024,ZonMW
PUB-083,Gemeente Groningen/DMO,2024,3871716,Groningen Dementievriendelijk,ZonMW
PUB-084,Aanvrager geen rechtspersoon,2022,3870408,Mkb-innovatiestimulering Topsectoren,RVO
PUB-085,Prodrive Technologies B.V.,2024,3791167,Investeringssubsidie maakindustrie klimaatneutrale economie (IMKE),RVO
PUB-086,Universiteit Utrecht,2022,3740463,Aspasia 2020 ,NWO
PUB-087,AMC,2024,3701309,Continueren ovulatie-inductie met letrozol versus switchen naar gonadotrofines bij vrouwen met PCOS,ZonMW
PUB-088,Energiebedrijf Ketelhuis WG B.V.,2023,3696000,Warmtenetten Investeringssubsidie (WIS),RVO
PUB-089,Aanvrager geen rechtspersoon,2023,3665323,Mkb-innovatiestimulering Topsectoren,RVO
PUB-090,Stg KU - Radboud Universiteit,2024,3617145,Alpha-Synuclein OMICS to identify Drug-targets (SynOD),ZonMW
PUB-091,Radboud Universiteit Nijmegen,2023,3559072,Aspasia 2021 ,NWO
PUB-092,GGD Amsterdam,2023,3534037,De Kracht van de Natuurô van Welzijn Op Recept in 3 stadsdelen in Amsterdam als onderdeel van de kwalitatieve ontwikkel agenda WoR,ZonMW
PUB-093,Universiteit Utrecht,2024,3532876,Het geheim van hotspots. Succesvolle manieren om sportaccommodaties te exploiteren en benutten,ZonMW
PUB-094,IKNL,2022,3527859,Meerjarenplan richtlijnen palliatieve zorg,ZonMW
PUB-095,Universiteit van Amsterdam,2024,3517365,Aligned Minds: embedding SDG interactions research in local knowledge ecosystems,NWO
PUB-096,Netherlands eScience Center (NLeSC),2022,3500000,NLeSC 2022 extra middelen,NWO
PUB-097,Universiteit Twente,2024,3453772,Application Form Venture Challenge spring 02_02_2024_HAPI,NWO
PUB-098,Koninklijke Nederlandse Akademie van Wetenschappen,2023,3437062,Aspasia 2019,NWO
PUB-099,Radboud Universiteit Nijmegen,2022,3433659,2nd Neuromorphic Computing in the Netherlands – Edition 2022 – Control and Learning,NWO
PUB-100,Nederlands Huisartsen Genootschap (NHG),2022,3425159,Digitale zorg op afstand in Diabetes richtlijnen (DiDia),ZonMW
PUB-101,Hogeschool van Arnhem en Nijmegen,2024,3423724,‘Doorontwikkeling Mentality - naar een inclusievere samenwerking’,ZonMW
PUB-102,St Universiteit van Tilburg,2023,3402381,"Academische Werkplaats Leven met een verstandelijke beperking: structuur, werkwijze en plan van aanpak ten behoeve van het versterken van de kennisinfrastructuur langdurige zorg voor mensen met een verstandelijke beperking.",ZonMW
PUB-103,Leids Universitair Medisch Centrum,2022,3361377,19th Dutch chromatin meeting 2022,NWO
PUB-104,Stichting Patiënt en Kwaliteit,2024,3218268,1e subsidieaanvraag Stichting Patiënt en Kwaliteit 2024,ZonMW
PUB-105,Het Nederlands Kanker Instituut (NKI),2022,3183669,Data-gedreven narratieve ervaringen ter ondersteuning van het terugkoppelen van patiënt-gerapporteerde uitkomsten in de dagelijkse klinische oncologische praktijk,ZonMW
PUB-106,St Antonius Ziekenhuis,2023,3143457,"Personalized, CT-guided antithrombotic therapy versus lifelong single antiplatelet therapy to reduce thromboembolic and bleeding events in non-atrial fibrillation patients after transcatheter aortic valve implantation: a pragmatic, international, multicen",ZonMW
PUB-107,Kon.Ned.Org.van Verloskundigen,2024,3103835,Kwaliteitsgelden Verloskunde 2024-1,ZonMW
PUB-108,Kon.Ned.Org.van Verloskundigen,2023,3040899,Kwaliteitsgelden Verloskunde 2023-1,ZonMW
PUB-109,Starters4Communities Amsterdam,2022,2931450,Fiks MDT project 4C,ZonMW
PUB-110,Rijksuniversiteit Groningen (RUG) PPSW,2024,2909810,2024 Academische Werkplaats EMB,ZonMW
PUB-111,Trioworld,2024,2905459,Subsidie Circular Plastics NL,RVO
PUB-112,Ministerie van VWS (RIVM),2024,2905297,"CAUTION: Candida auris screening, surveillance en infectiepreventie",ZonMW
PUB-113,Vrije Universiteit Amsterdam,2023,2832885,Academische Werkplaats Viveon (voorheen ‘s Heeren Loo – VU),ZonMW
PUB-114,Stichting Patiënt en Kwaliteit,2022,2828623,Derde aanvraag 2022 kwaliteitsgelden SPK,ZonMW
PUB-115,TNO Accounts Receivable,2023,2812579,Development and harmonization of pyrolysis GC-MS methods for the identification and quantification of micro- and nanoplastics,ZonMW
PUB-116,NWO-institutenorganisatie,2023,2790871,Achieving Semiconductor Stability from the Ground Up,NWO
PUB-117,Ver. van Ned. Gemeenten Den Haag,2022,2787872,Beschermd Thuis – landelijke coördinatie en regionale ondersteuning,ZonMW
PUB-118,Erasmus Universiteit Rotterdam,2023,2784844,Als je het ons vraagtô: co-creatie van passende zorg en ondersteuning voor mensen met niet aangeboren hersenletsel of een lichamelijke beperking,ZonMW
PUB-119,Ver. van Ned. Gemeenten Den Haag,2024,2738117,Doorontwikkeling Platform Sociaal Domein/Voorbij corona,ZonMW
PUB-120,Gemeente Haarlem,2024,2692479,Kennemerland en Haarlem: Samenwerken aan grip op onbegrip,ZonMW
PUB-121,Radboud universitair medisch centrum,2023,2663301,Aspasia 2019,NWO
PUB-122,Amsterdam UMC - Locatie VUmc,2023,2649056,Aspasia 2019,NWO
PUB-123,Kon.Ned.Org.van Verloskundigen,2022,2642130,Kwaliteitsgelden Verloskunde 2022-2,ZonMW
PUB-124,Erasmus Universiteit Rotterdam,2023,2620000,Aspasia 2019,NWO
PUB-125,Wageningen Universiteit Bureau Maatschappijwetenschappen,2024,2602922,FOODPATH: Voedselsystemen en beleidsroutes naargezonde voeding voor iedereen in Europa,ZonMW
PUB-126,Rijksuniversiteit Groningen,2022,2602174,Aspasia 2019,NWO
PUB-127,Universiteit Twente (UT),2024,2531622,“Treatment of ELectroencephalographic STatus epilepticus After cardiopulmonary Resuscitation-2 (TELSTAR-2): a multicenter randomised clinical trial and health economic evaluation of treatment with anti-seizure medication in comatose cardiac arrest pat,ZonMW
PUB-128,Gemeente DEN HAAG Fin. Adm.,2023,2489588,Aanpak overlast verward gedrag Den Haag,ZonMW
PUB-129,Ore Energie B.V.,2024,2407227,Investeringssubsidie maakindustrie klimaatneutrale economie (IMKE),RVO
PUB-130,SVP Distributie & Levering B.V.,2023,2396283,Warmtenetten Investeringssubsidie (WIS),RVO
PUB-131,Amsterdam UMC - Locatie AMC,2023,2294441,Aspasia 2021 ,NWO
PUB-132,Stichting Young Society,2022,2241055,Fix the Future,ZonMW
PUB-133,Stichting Patiënt en Kwaliteit,2023,2157679,1e subsidieaanvraag Stichting Patiënt en Kwaliteit 2023,ZonMW
PUB-134,Trimbos-Instituut,2023,2093923,Het brede gesprek: Praktische hulpmiddelen om huisarts en sociaal domein te verbinden bij psychosociale problematiek,ZonMW
PUB-135,Gemeente Utrecht Subsidies,2024,2087720,In Utrecht aan de slag met zinvolle dagactiviteiten voor thuiswonende mensen met dementie,ZonMW
PUB-136,Zuyd hogeschool,2022,2071490,Academische Werkplaats Hulpmiddelen Zelfredzaamheid,ZonMW
PUB-137,Universiteit van Amsterdam,2024,2028706,‘IMpaired cOordiNation between cortical areas as a key to diagnose Autism spectrum Disorders (MONAD)ô,ZonMW
PUB-138,Gemeente Utrecht Subsidies,2022,2024466,Integraal Gezondheidsonderzoek bij Rampen – COVID-19 Fase 2 Gemeente Utrecht Volksgezondheid / Integrated Public Health Monitor – COVID-19 Phase 2 Gemeente Utrecht Volksgezondheid,ZonMW
PUB-139,Vrije Universiteit Amsterdam,2022,1938310,Aspasia 2020 ,NWO
PUB-140,Stg. Nationaal Testcentrum Circulaire Plastics,2024,1930081,Subsidie Circular Plastics NL,RVO
PUB-141,Leids Universitair Medisch Centrum,2023,1910785,A Dynamic Arteriovenous Fistula,NWO
PUB-142,Technische Universiteit Eindhoven - Eindhoven University of Technology,2024,1904784,A Drop-in Sensing Method for Smart Handling of Fresh Fruits with Soft Pneumatic Grippers,NWO
PUB-143,Stichting HBO Haaglanden,2024,1857789,ACT2ACT; ACTive systems to ACTivate young children,ZonMW
PUB-144,NIVEL,2023,1856393,Care2report; the development and testing of automated medical visit summarization as integrated solution to enhance time with patients and reduce administrative burden in clinical geriatrics,ZonMW
PUB-145,St. Universiteit voor Humanistiek,2022,1811413,Kenniswerkplaats Zorg voor Zingeving Thuis – uitbreiding van de Kenniswerkplaats Zingeving en Geestelijke Verzorging Thuis,ZonMW
PUB-146,St Universiteit van Tilburg,2022,1763282,"Academische Werkplaats Leven met een verstandelijke beperking: structuur, werkwijze en plan van aanpak ten behoeve van het versterken van de kennisinfrastructuur langdurige zorg voor mensen met een verstandelijke beperking.",ZonMW
PUB-147,NIVEL,2022,1759603,Designing One Health Governance for Antimicrobial Stewardship Interventions,ZonMW
PUB-148,NWO-institutenorganisatie,2022,1747316,Routemanagement Tussen conflict en cooperatie,NWO
PUB-149,Vrije Universiteit Amsterdam,2024,1736848,Aspasia 2020 ,NWO
PUB-150,Gemeente DEN HAAG Fin. Adm.,2022,1734645,Follow Your Dreams 2.0,ZonMW
PUB-151,V&VN Eerstelijnsverpleegkundigen,2023,1730062,"Kwaliteitsstandaarden Wijkverpleging (Door)ontwikkelen, onderhouden, implementeren & Evalueren Subsidieaanvraag oktober 2022",ZonMW
PUB-152,ICIN Netherlands Heart Institute,2022,1707087,Creating infrastructure for cardiovascular registry-based research in the Netherlands,ZonMW
PUB-153,Academisch Centrum Tandheelkunde Amsterdam,2022,1697674,Body Barriers - A novel mucosa-blood-brain organ-on-chip platform for the safety testing of medical devices,NWO
PUB-154,Trimbos-Instituut,2024,1692402,Applying the gambling harms framework to the Netherlands: Developing multiple indicators to support assessment of gambling harms,ZonMW
PUB-155,Rijksuniversiteit Groningen,2024,1684235,Alcoholregulering: navigeren tussen toestaan en verbieden,ZonMW
PUB-156,Universiteit Leiden,2024,1671728,An Unprecedented View into Galaxy Evolution and the Nature of Dark Matter,NWO
PUB-157,Stg KU - Radboud Universiteit,2022,1662380,Diversiteit en volwaardig partnerschap in hulpverlening aan kinderen en jeugdigen met CMB en hun communicatiepartners,ZonMW
PUB-158,Universiteit Utrecht (UU)  Faculteit Sociale Wetenschappen,2024,1645592,"De effecten van prenatale infecties op de vroege ontwikkeling: hersenen, cognitie en gedrag",ZonMW
PUB-159,Gemeente DEN HAAG Fin. Adm.,2024,1640729,De Gaarden: een nieuwe richting in Gezonde Stedelijke Ontwikkeling,ZonMW
PUB-160,Tilburg University,2024,1630000,AI for Robotics Workshop,NWO
PUB-161,VU Fac Exacte Wetenschappen,2023,1629580,Extracellular vesicles as secretome sponges in cancer,ZonMW
PUB-162,GGD Flevoland,2024,1626134,Bewonersinitiatieven in de leefomgeving voor langer gezond thuis wonen door ouderen in Flevoland,ZonMW
PUB-163,IKNL,2023,1622830,Meerjarenplan richtlijnen palliatieve zorg,ZonMW
PUB-164,Zilveren Kruis Zorgverzekeringen,2023,1591237,Opstellen regiobeeld Amsterdam nav IZA afspraken,ZonMW
PUB-165,Verwey Jonker Instituut,2023,1586098,Besmetting en verspreiding van COVID-19 voorkomen: een serious game voor mensen met lage gezondheidsvaardigheden,ZonMW
PUB-166,Rijksuniversiteit Groningen,2024,1569976,"Experiences of Ukrainian migrant workers in Europe – experiencing decent work? (Hop-on project to ""Working Democracy"" VICI grant)",NWO
PUB-167,Prinses Maxima Centrum voor Kinderoncologie BV,2024,1515000,‘Tracing the etiology of longterm toxicity in childhood cancer survivors’,ZonMW
PUB-168,Peeters Energy Solutions B.V.,2024,1500027,Investeringssubsidie maakindustrie klimaatneutrale economie (IMKE),RVO
PUB-169,Stichting ETB-BISLIFE,2023,1500000,Implementatie VitalTissue: humaan restweefsel beschikbaar voor alle biomedisch onderzoekers in NL,ZonMW
PUB-170,Maastricht University,2024,1499597,ACT - Accelerating Just Climate Transitions in Urban Regions,NWO
PUB-171,Fablefactory B.V.,2022,1499172,MDT CULTUUR & KUNST,ZonMW
PUB-172,Hogeschool van Arnhem en Nijmegen,2023,1495818,Beter bewegen in Elderveld doen we samen!,ZonMW
PUB-173,Patiëntenfederatie Nederland,2022,1491781,Generieke module omgaan met taalbarrières in de zorg en het sociaal domein,ZonMW
PUB-174,St. Chr. Hogeschool Windesheim,2024,1488966,CONTACT: samen werken aan afstemming in dementie zorgdriehoek,ZonMW
PUB-175,Faculteit Sociale Wetenschappen UL,2023,1484249,Brave Steps: A Stepped-Care Approach to Building Confidence in Anxiety-prone Young Children,ZonMW
PUB-176,Kearn Welzijn,2022,1463428,´t Stationnetje in actie!,ZonMW
PUB-177,RecyBEM B.V.,2024,1462432,Subsidie Circular Plastics NL,RVO
PUB-178,Vrije Universiteit Amsterdam,2022,1455740,Academische Werkplaats Viveon (voorheen ‘s Heeren Loo – VU),ZonMW
PUB-179,Sint Maartenskliniek,2024,1439169,Dosis verlaging van JAK-remmers bij mensen met inflammatoire reumatische aandoeningen,ZonMW
PUB-180,St. Maxima Medisch Centrum,2023,1421337,Building A BRIDGE: Academic nurses who,ZonMW
PUB-181,Huntington KennisNet Nederland,2023,1410000,Extra transitiesubsidie en financiering van het kenniscentrum’,ZonMW
PUB-182,TNO Accounts Receivable,2022,1409810,GIZ method for parents-to-be: a shared decision-making method for the assessment of care needs in the first 1000 days,ZonMW
PUB-183,Wageningen Universiteit,2024,1407901,Rehabilitation after a hip fracture: effects of dietary protein and exercise on bone and muscle health and quality of life,ZonMW
PUB-184,Gemeente Dordrecht,2024,1403108,Eerlijke hitte in de stad,ZonMW
PUB-185,Erasmus MC,2022,1400960,3rd ECTORS meeting,NWO
PUB-186,Het College van B&W van de Gemeente Hoogeveen,2024,1399425,Domein Overstijgend Samenwerken Drenthe,ZonMW
PUB-187,Stichting NHL Stenden Hogeschool,2024,1396602,De prevalentie en perceptie van alcoholvrije dranken,ZonMW
PUB-188,Parnassia Bavo Groep,2022,1389427,"Efficacy and safety of 24 weeks sustained-release dexamphetamine in patients with moderate to severe cocaine use disorder with comorbid opioid use disorder – A multicenter randomized, double-blind, placebo-controlled study",ZonMW
PUB-189,Rijksuniversiteit Groningen (RUG) PPSW,2023,1377146,"A web based cognitive behavioral therapy that addresses gender dysphoria, gender minority stress and suicidality among gender minority youth. A Randomized Control Trial",ZonMW
PUB-190,GGD Zuid-Limburg,2024,1358014,GGroen: Ontsluiten van de Gezondheidswaarde van een Groen Zuid Limburg;wat werkt in kwetsbare wijken,ZonMW
PUB-191,Contourde Twern,2022,1348708,Gelukkig en gezond oud in de Reeshof,ZonMW
PUB-192,Stichting OLVG,2024,1348414,Centrale OLVG research pool ter ondersteuning van 6 zorgevaluatiestudies,ZonMW
PUB-193,Patiëntenfederatie Nederland,2024,1347777,Referentenpanel Patiëntenfederatie Nederland 2024,ZonMW
PUB-194,Stg KU - Radboud Universiteit,2023,1306277,Best practices combineren tot een veilige digitale ontmoetingsplek voor mensen met mentale problemen,ZonMW
PUB-195,Wageningen Universiteit,2023,1285260,(micro)2 corona. Advanced characterization of biomolecular corona on micro and nanoplastics in the anaerobic intestinal microbiome and its consequences on the intestinal epithelium,ZonMW
PUB-196,Rijksuniversiteit Groningen (RUG) PPSW,2022,1284781,Training en toolbox voor account managers in de arbeidsmarktregio Groningen en Noord-Drenthe ter bevordering van duurzame en succesvol bemiddeling van statushouders naar werk.,ZonMW
PUB-197,Stichting SeniorenStudent,2022,1283890,Jong+Oud=Goud,ZonMW
PUB-198,Gemeente Zaanstad,2023,1282058,De basis op orde: Regionale kenniswerkplaats onbegrepen gedrag Zaanstreek-Waterland,ZonMW
PUB-199,Stichting Hogeschool van Arnhem en Nijmegen,2023,1274390,Maatschappelijke waarde van topsportevenementen,ZonMW
PUB-200,Universiteit Utrecht,2024,1252972,A novel method for efficient expansion of functional human hepatocytes,NWO
PUB-201,Stichting rijnstate ziekenhuis,2022,1251455,IS A PREOPERATIVE MULTIDISCIPLINARY TEAM MEETING (COST)EFFECTIVE IN OPTIMIZING NON-CARDIOSURGICAL PATIENT MANAGEMENT: THE PREPARATION STUDY,ZonMW
PUB-202,NWO-institutenorganisatie,2024,1199476,"Green Sparks 
Understanding the electric breakdown dynamics of eco-friendly insulating gases for high voltage technology",NWO
PUB-203,Hogeschool Utrecht,2024,1196812,De doorontwikkeling van de ConnectEM binnen de acute zorg (ambulance- en spoedeisende hulp context),ZonMW
PUB-204,Vereniging Expertisenetwerk NAH,2023,1190000,"‘Extra transitiesubsidie om te komen tot een kennisnetwerk voor een specfieke doelgroep in de langdurige zorg’, kortweg ‘extra transitiesubsidie’",ZonMW
PUB-205,Gemeente Zaanstad,2024,1155449,Hulpkaart en crisiskaart in de regio Zaanstreek-Waterland,ZonMW
PUB-206,Open Universiteit Nederland,2023,1151463,What´s BOThering you?,ZonMW
PUB-207,Prinses Maxima Centrum voor Kinderoncologie BV,2022,1148883,Development and Evaluation of a National Network of Allied Health Professionals working with Children with Cancer to improve Participation and Quality of Life (KinderOncoNet),ZonMW
PUB-208,Maastricht University,2024,1147565,Secondary prevention of dementia in memory clinics: implementation and cost-effectiveness of an integrated lifestyle intervention,ZonMW
PUB-209,Kon. Ned. Genootschap Fysiotherapie (KNGF),2022,1128044,Digi-On: praktische aanbevelingen voor fysiotherapie en oefentherapie op afstand,ZonMW
PUB-210,Gemeente Almere OW&SZ,2024,1117924,Domeinoverstijgende aanpak regio Flevoland,ZonMW
