fact_id,module,entity,source,metric,contract_count,totaal,years_with_data,query_ref,verified_at
PUB-SRC-063,publiek,KG& ROLF,COA,per_source_count,29,365029,2,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-064,publiek,PLUS Alfring Baalderveld,COA,per_source_count,28,140028,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-065,publiek,Snelwenskaart.nl,COA,per_source_count,28,190028,6,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-066,publiek,H. Offerein Supermarkt B.V.,COA,per_source_count,28,140028,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-067,publiek,Civil Management,COA,per_source_count,28,2925027,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-068,publiek,SPIE Building Solutions B.V.,COA,per_source_count,28,97130028,2,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-069,publiek,Gemeente Westerwolde,COA,per_source_count,27,6270024,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-070,publiek,BMWSR B.V.,COA,per_source_count,27,5780027,4,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-071,publiek,Yadeborg,COA,per_source_count,27,10185027,4,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-072,publiek,De Betteld,COA,per_source_count,27,2625027,3,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-073,publiek,Le Cocq Holding Didam B.V.,COA,per_source_count,27,257990025,1,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-074,publiek,Gemeente Utrecht,COA,per_source_count,26,5350026,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-075,publiek,Twynstra Gudde Holding B.V.,COA,per_source_count,26,20715026,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-076,publiek,Gemeente Tytsjerksteradiel,COA,per_source_count,26,1165026,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-077,publiek,Gemeente Smallingerland,COA,per_source_count,26,2615026,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-078,publiek,(COA)litie V.O.F.,COA,per_source_count,26,9345026,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-079,publiek,Primera Meesters,COA,per_source_count,26,130026,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-080,publiek,KleurRijker B.V.,COA,per_source_count,26,4610026,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-081,publiek,Staatvandienst B.V.,COA,per_source_count,26,355026,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-082,publiek,CBRE GWS IFM B.V.,COA,per_source_count,26,26750026,4,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-083,publiek,Protestantse Kerk Nederland,COA,per_source_count,26,1170026,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-084,publiek,IVM,COA,per_source_count,26,660026,7,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-085,publiek,PLUS Wemekamp,COA,per_source_count,25,225025,4,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-086,publiek,Trigion Beveiliging B.V.,COA,per_source_count,25,729715025,4,Q-PUB-02,2026-03-02T19:28:34Z
PUB-SRC-087,publiek,Fudura,COA,per_source_count,25,720024,7,Q-PUB-02,2026-03-02T19:28:34Z
