fact_id,module,entity,metric,value,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,years_with_data,row_count,query_ref,verified_at
INSTR-TOP-018,instrumenten,Europese Unie,total_received,9068216000,0,0,0,9068216000,0,0,0,0,0,1,3,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-019,instrumenten,Dienst Justitiële Inrichtingen (DJI),total_received,8905984000,2218941000,2004551000,0,2283782000,2398710000,0,0,0,0,4,47,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-020,instrumenten,Memoriaal boeking: interne verantwoording,total_received,8851650000,2434001000,6417649000,0,0,0,0,0,0,0,2,81,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-021,instrumenten,Overig,total_received,8667301000,8667301000,0,0,0,0,0,0,0,0,1,19,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-022,instrumenten,Amsterdam,total_received,8667007000,0,1992583000,2112540000,2160918000,2400966000,0,0,0,0,4,24,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-023,instrumenten,Commissariaat voor de media,total_received,8584054000,5706000,972689000,963833000,996329000,1042441000,1043650000,1110521000,1201057000,1247828000,9,103,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-024,instrumenten,Gemeente 's-Gravenhage,total_received,8445844000,48513000,43915000,0,47462000,50993000,1597971000,2169391000,2227455000,2260144000,8,100,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-025,instrumenten,Geanonimiseerde ontvanger(s) van Inkomensoverdrachten voor Zorgtoeslag,total_received,8391128000,0,0,0,0,0,0,0,8391128000,0,1,1,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-026,instrumenten,Centraal Bureau COA,total_received,8234450000,0,0,606162000,638106000,754836000,738386000,1570085000,0,3926875000,6,8,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-027,instrumenten,Ontvanger BNI-afdracht,total_received,7483864000,0,3403187000,4080677000,0,0,0,0,0,0,2,2,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-028,instrumenten,Belastingdienst,total_received,7329971000,697000,54000,5995000,42901000,33936000,7208677000,37241000,84000,386000,9,290,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-029,instrumenten,Rijkswaterstaat (RWS),total_received,7201144000,2355451000,2238491000,0,2502734000,104468000,0,0,0,0,4,144,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-030,instrumenten,Geanonimiseerde ontvanger(s) van Inkomensoverdrachten voor INK Zorgtoeslag,total_received,7043866000,0,0,0,0,0,0,0,0,7043866000,1,1,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-031,instrumenten,Rotterdam,total_received,6696380000,0,1519861000,1641582000,1703217000,1831222000,498000,0,0,0,5,22,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-032,instrumenten,Uitvoeringsinstituut werknemersverzeke-,total_received,6445361000,0,0,0,0,0,0,6445361000,0,0,1,13,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-033,instrumenten,Ontvanger Invoerrechten,total_received,6219068000,0,3081426000,3137642000,0,0,0,0,0,0,2,2,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-034,instrumenten,Memoriaalboeking,total_received,6091064000,0,0,0,0,0,6091064000,0,0,0,1,79,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-035,instrumenten,Begrotingsreserve,total_received,6038645000,0,0,0,1091401000,2038151000,176723000,2696823000,35547000,0,5,48,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-036,instrumenten,Raad voor de rechtspraak,total_received,5871680000,0,0,37000,1075954000,1077097000,1161916000,1230171000,1326342000,163000,7,12,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-037,instrumenten,Onbekend,total_received,5845515000,0,777000,0,0,-659000,5845397000,0,0,0,2,570,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-038,instrumenten,Geanonimiseerde ontvanger(s) van Leningen voor Rentedragende lening (NR),total_received,5739354000,0,0,0,0,0,0,2600352000,1899590000,1239412000,3,4,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-039,instrumenten,BTW-afdrachten,total_received,5724531000,0,0,0,0,553463000,1049051000,1245232000,1409352000,1467433000,5,5,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-040,instrumenten,Universiteit  Utrecht,total_received,5616784000,3128000,547812000,594985000,616680000,647226000,724013000,778756000,832313000,871871000,9,278,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-041,instrumenten,Infrastructuurfonds,total_received,5459755000,0,0,5459755000,0,0,0,0,0,0,1,1,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-042,instrumenten,Universiteit van Amsterdam,total_received,5206678000,1415000,488113000,540458000,569611000,600545000,675838000,733475000,775299000,821924000,9,130,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-043,instrumenten,'s-Gravenhage,total_received,5184290000,0,1173629000,1242939000,1325814000,1441908000,0,0,0,0,4,14,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-044,instrumenten,Infastructuurfonds,total_received,5133045000,0,0,0,5133045000,0,0,0,0,0,1,1,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-045,instrumenten,Gemeente Utrecht,total_received,5049944000,24242000,22222000,0,23573000,22286000,1125781000,1165366000,1363351000,1303123000,8,240,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-046,instrumenten,Rijksuniversiteit Groningen,total_received,4751545000,1826000,450643000,499270000,517951000,545092000,613170000,658990000,715108000,749495000,9,159,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-047,instrumenten,Rijksdienst voor Ondernemend Nederland (RVO),total_received,4695175000,755191000,814675000,440359000,925360000,1759590000,0,0,0,0,5,383,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-048,instrumenten,Ons Middelbaar Onderwijs,total_received,4601612000,3286000,463082000,500604000,607482000,531406000,577364000,619170000,640272000,658946000,9,229,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-049,instrumenten,Centraal Orgaan opvang asielzoekers (COA),total_received,4531035000,1115249000,868401000,0,0,0,0,25000,2547197000,163000,5,7,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-050,instrumenten,Memoriaal boeking,total_received,4375237000,0,0,0,4374550000,687000,0,0,0,0,2,75,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-051,instrumenten,Universiteit Leiden,total_received,4280836000,2032000,398574000,440255000,460840000,490597000,551583000,608604000,652873000,675478000,9,108,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-052,instrumenten,NWO Ned Org Wetensch Onderz,total_received,4094234000,0,0,976668000,1013314000,952827000,0,1151425000,0,0,4,51,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-053,instrumenten,Gemeente Groningen,total_received,4023396000,6166000,5910000,0,24120000,27689000,964209000,880462000,1006160000,1108680000,8,308,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-054,instrumenten,Technische Universiteit  Delft,total_received,3875953000,32000,0,416380000,465219000,492359000,548600000,608544000,658926000,685893000,8,266,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-055,instrumenten,Utrecht,total_received,3831155000,0,864926000,925522000,992878000,1047829000,0,0,0,0,4,30,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-056,instrumenten,Erasmus Universiteit Rotterdam,total_received,3759318000,1312000,353379000,392788000,406638000,429566000,479205000,530595000,568782000,597053000,9,57,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-057,instrumenten,Gemeente tilburg,total_received,3326821000,11979000,11659000,0,13374000,24990000,771255000,743440000,896244000,853880000,8,270,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-058,instrumenten,Gemeente Eindhoven,total_received,3324318000,-4000,16000,0,10000,9950000,802547000,750213000,897670000,863916000,7,132,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-059,instrumenten,Metropoolregio Rotterdam Den Haag,total_received,3030827000,502577000,82338000,571395000,612044000,0,645637000,0,616836000,0,6,15,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-060,instrumenten,Rijksdienst voor ondernemend Nederland,total_received,3006934000,0,0,22076000,0,0,1758825000,405849000,285028000,535156000,5,412,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-061,instrumenten,Groningen,total_received,2972460000,0,687143000,742166000,765076000,778075000,0,0,0,0,4,31,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-062,instrumenten,Immigratie- en Naturalisatiedienst,total_received,2959047000,0,0,359742000,0,0,492398000,527678000,774066000,805163000,5,6,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-063,instrumenten,The World Bank,total_received,2945496000,112482000,144467000,442247000,243484000,379064000,385123000,358645000,430219000,449765000,9,135,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-064,instrumenten,Ontvanger Uitg.gemeenten en kaderwetgeb.,total_received,2881223000,0,0,2881223000,0,0,0,0,0,0,1,1,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-065,instrumenten,Stichting Fontys,total_received,2866918000,1263000,262451000,307125000,313007000,320417000,399482000,429689000,420485000,412999000,9,81,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-066,instrumenten,Gemeente Almere,total_received,2837579000,7637000,7233000,0,12580000,23495000,630682000,663535000,746731000,745686000,8,211,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-067,instrumenten,Gemeente  Arnhem,total_received,2826283000,8691000,6715000,0,7618000,10717000,663069000,649295000,732830000,747348000,8,186,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-068,instrumenten,Gemeente Nijmegen,total_received,2794254000,7106000,6801000,0,7259000,14586000,644488000,626977000,743669000,743368000,8,179,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-069,instrumenten,Rijkswaterstaat,total_received,2762588000,0,0,2487067000,0,0,119729000,64747000,64208000,26837000,5,149,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-070,instrumenten,Nederlandse organisatie voor,total_received,2698839000,0,0,0,0,0,0,305000,1304592000,1393942000,3,37,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-071,instrumenten,Stichting Lucas Onderwijs,total_received,2645332000,811000,224467000,253757000,268195000,280748000,341413000,403918000,437335000,434688000,9,202,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-072,instrumenten,Ontvanger waarvan bijdragen aan gemeenten en kaderwetgebieden,total_received,2630051000,0,2630051000,0,0,0,0,0,0,0,1,1,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-073,instrumenten,Stichting Carmelcollege,total_received,2627972000,1572000,290191000,305092000,309208000,306937000,328058000,350904000,367375000,368635000,9,325,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-074,instrumenten,De Vervoerregio Amsterdam,total_received,2611803000,0,0,406373000,444958000,552620000,629991000,576851000,0,1010000,6,20,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-075,instrumenten,Gemeente Enschede,total_received,2599137000,10514000,11560000,0,15226000,23891000,589632000,595539000,697553000,655222000,8,245,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-076,instrumenten,PROVINCIES,total_received,2493504000,2493504000,0,0,0,0,0,0,0,0,1,3,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-077,instrumenten,Rentedragende lening (NR),total_received,2480180000,0,0,2480180000,0,0,0,0,0,0,1,1,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-078,instrumenten,Stichting Hogeschool van Amsterdam,total_received,2467281000,796000,257533000,295119000,305736000,45000,374557000,417663000,402947000,412885000,9,53,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-079,instrumenten,Stichting Boor,total_received,2387768000,893000,219039000,244702000,256098000,271157000,291672000,351196000,375658000,377353000,9,194,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-080,instrumenten,Gemeente Breda,total_received,2336319000,8285000,8154000,0,8416000,10788000,543495000,524350000,641285000,591546000,8,189,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-081,instrumenten,Ns Reizigers B.V.,total_received,2221909000,555000,3256000,2649000,20650000,617466000,2655000,696966000,877463000,249000,9,53,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-082,instrumenten,Geanonimiseerde ontvanger(s) van Inkomensoverdrachten voor Aanvullende beurs gift (R),total_received,2216154000,0,0,0,0,0,0,714951000,715957000,785246000,3,4,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-083,instrumenten,Universiteit Twente,total_received,2175906000,4866000,192009000,214939000,231315000,241738000,271744000,308738000,351131000,359426000,9,286,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-084,instrumenten,Provincie Gelderland,total_received,2175855000,2376000,5706000,5794000,3275000,29652000,406864000,489296000,572491000,660401000,9,106,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-085,instrumenten,Stichting hogeschool utrecht,total_received,2163378000,548000,203498000,227089000,229610000,237784000,296769000,319229000,322049000,326802000,9,70,Q-INSTR-01,2026-03-02T19:28:34Z
INSTR-TOP-086,instrumenten,Gemeente Apeldoorn,total_received,2156102000,5760000,6658000,0,7261000,10798000,493851000,482466000,569861000,579447000,8,203,Q-INSTR-01,2026-03-02T19:28:34Z
