fact_id,module,entity,metric,totaal,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,max_ratio,drop_period,query_ref,verified_at
INSTR-YOY-DN-069,instrumenten,Stadhuis,yoy_decrease,222506000,0,955000,4000,7324000,871000,6528000,99327000,0,107497000,238.75,2017-2018,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-070,instrumenten,Stichting De Onderwijsspecialisten,yoy_decrease,598419000,168000,41220000,46000000,50565000,255000,95520000,112642000,122548000,129501000,198.294117647059,2019-2020,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-071,instrumenten,Universiteit Maastricht,yoy_decrease,1293742000,1616000,290147000,1517000,2071000,3473000,3768000,3214000,478827000,509109000,191.263678312459,2017-2018,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-072,instrumenten,Omgevingsdienst Groningen,yoy_decrease,290189000,0,0,0,321000,33524000,138020000,116481000,673000,1170000,173.077265973254,2022-2023,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-073,instrumenten,Stichting VU,yoy_decrease,623573000,249000,218000,322000,2167000,4016000,890000,593000,611562000,3556000,171.98031496063,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-074,instrumenten,Inspectie Leefomgeving en Transport,yoy_decrease,297367000,0,0,129510000,0,0,165570000,1064000,1075000,148000,155.610902255639,2021-2022,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-075,instrumenten,Stichting Onderwijsgroep Buitengewoon,yoy_decrease,131046000,0,0,18399000,17924000,117000,18941000,23041000,24789000,27835000,153.196581196581,2019-2020,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-076,instrumenten,Gemeente Heerhugowaard,yoy_decrease,137716000,72000,120000,0,2896000,1951000,131416000,860000,401000,0,152.809302325581,2021-2022,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-077,instrumenten,Katholieke Scholenstichting Fectio,yoy_decrease,121825000,60000,14100000,15677000,16257000,122000,17046000,19527000,19701000,19335000,133.254098360656,2019-2020,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-078,instrumenten,Rijksinstituut voor Volksgezondheid en Milieu (RIVM),yoy_decrease,949809000,41940000,41817000,7236000,49648000,58767000,68874000,12829000,663370000,5328000,124.506381381381,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-079,instrumenten,Stichting Onderwijsgroep Amersfoort,yoy_decrease,356652000,170000,47565000,45282000,44281000,357000,49815000,53651000,56873000,58658000,124.036414565826,2019-2020,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-080,instrumenten,Stichting Hanzehogeschool Groningen,yoy_decrease,1680510000,543000,166368000,195657000,207904000,1695000,263414000,287878000,276829000,280222000,122.657227138643,2019-2020,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-081,instrumenten,Stichting PIT-onderwijs,yoy_decrease,146850000,199000,15349000,17598000,18693000,153000,20423000,24306000,23862000,26267000,122.176470588235,2019-2020,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-082,instrumenten,Samenwerkingsstichting Kans & Kleur,yoy_decrease,156387000,83000,17646000,19809000,20320000,173000,21477000,24691000,26096000,26092000,117.456647398844,2019-2020,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-083,instrumenten,Stichting Grafisch Lyceum Utrecht,yoy_decrease,171253000,42000,17684000,21366000,22405000,196000,25724000,25216000,28513000,30107000,114.311224489796,2019-2020,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-084,instrumenten,ENGIE Nederland Retail B.V.,yoy_decrease,221260000,0,0,0,0,13000,0,102958000,117226000,1063000,110.278457196613,2023-2024,Q-INSTR-03,2026-03-02T19:28:34Z
INSTR-YOY-DN-085,instrumenten,Gemeente Den Haag,yoy_decrease,769861000,2210000,265000,0,1299000,952000,471584000,4280000,229567000,59704000,110.183177570093,2021-2022,Q-INSTR-03,2026-03-02T19:28:34Z
