fact_id,ontvanger,jaar,bedrag,descriptor,type
INSTR-272,Baten-lastendienst Logius,2023,282477000,Logius,Bijdrage aan agentschappen
INSTR-273,Gemeente Dordrecht,2023,281061000,Algemene uitkering en aanvullende uitkeringen,Bijdrage aan medeoverheden
INSTR-274,Gemeente Zoetermeer,2024,279916000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-275,Provincie Overijssel,2024,279588000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-276,Geanonimiseerde ontvanger(s) van Leningen voor Basisbeurs prestatiebeurs (NR),2023,278348000,Basisbeurs prestatiebeurs (NR),Leningen
INSTR-277,Stichting Voorbereiding PALLAS-reactor,2024,277906000,SUB Medische Isotopen,Subsidies (regelingen)
INSTR-278,Stichting Avans,2023,277280000,Onderwijsdeel hbo,Bekostiging
INSTR-279,Provincie Utrecht,2023,276877000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-280,Stichting Avans,2024,274664000,Onderwijsdeel hbo,Bekostiging
INSTR-281,Vereniging Studentenkaart Streekvervoer,2022,274400000,Reisvoorziening bijdrage aan vervoersbedrijven (R),Inkomensoverdrachten
INSTR-282,Rijksdienst voor Ondernemend Nederland,2024,274084000,Subsidieregeling praktijkleren,Subsidies (regelingen)
INSTR-283,Provincie Overijssel,2023,273941000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-284,Gemeente Leiden,2023,271438000,Algemene uitkering en aanvullende uitkeringen,Bijdrage aan medeoverheden
INSTR-285,Budget Thuis B.V.,2022,271096000,Tijdelijke overbruggingsregeling compensatie energieprijzen kleinverbruikers 2022,Subsidies
INSTR-286,Gemeente Maastricht,2023,270704000,Algemene uitkering en aanvullende uitkeringen,Bijdrage aan medeoverheden
INSTR-287,Gemeente Haarlemmermeer,2024,268959000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-288,Provincie Limburg,2024,266681000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-289,Stichting Hanzehogeschool Groningen,2022,266378000,Onderwijsdeel hbo,Bekostiging
INSTR-290,"Stichting Limburgs Voortgezet Onderwijs, SWB voor bijzonder en openbaar ond.",2024,265497000,Bekostiging voortgezet onderwijs lumpsum,Bekostiging
INSTR-291,Provincie Fryslân,2024,264067000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-292,Provincie Noord-Holland,2022,262781000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-293,Gemeente Zoetermeer,2023,262485000,Algemene uitkering en aanvullende uitkeringen,Bijdrage aan medeoverheden
INSTR-294,Gemeente Emmen,2024,262153000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-295,Gemeente Dordrecht,2022,261888000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-296,Gemeente Zwolle,2022,260888000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-297,Invest International BV,2023,260000000,Kap.Invest Internat.,Vermogensverschaffing/-onttrekking 
INSTR-298,Gemeente Heerlen,2024,254766000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-299,NVWA,2023,252401000,Bijdrage aan NVWA (DGA),Bijdrage aan agentschappen
INSTR-300,RIVM,2024,252250000,BAG RIVM: Opdrachtverlening aan kenniscentra,Bijdrage aan agentschappen
INSTR-301,RVO,2022,252127000,Uitvoeringskosten reguliere schadeafhandeling,Bijdragen Baten-Lastendiensten
INSTR-302,UNOCHA (Office Coordination Of Humanitarian Aff),2023,251991000,Noodhulpprogramma's,Bijdrage aan (inter-)nationale organisaties
INSTR-303,Gemeente Maastricht,2022,251667000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-304,Provincie Overijssel,2022,250964000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-305,Provincie Utrecht,2022,250700000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-306,Stichting Lucas Onderwijs,2024,250169000,Bekostiging voortgezet onderwijs lumpsum,Bekostiging
INSTR-307,Invest-NL N.V.,2023,250000000,Kapitaalinj.InvestNL,Vermogensverschaffing/-onttrekking 
INSTR-308,Gemeente Haarlemmermeer,2023,249879000,Algemene uitkering en aanvullende uitkeringen,Bijdrage aan medeoverheden
INSTR-309,Stichting Nidos,2023,249847000,Bijdrage ZBO's/RWT's: NIDOS - opvang,Bijdrage aan ZBOs en RWTs
INSTR-310,UNOCHA (Office Coordination Of Humanitarian Aff),2024,249792000,Noodhulpprogramma's,Bijdrage aan (inter-)nationale organisaties
INSTR-311,Geanonimiseerde ontvanger(s) van Leningen voor Reisvoorziening (NR),2023,249168000,Reisvoorziening (NR),Leningen
INSTR-312,Stichting Hanzehogeschool Groningen,2024,248074000,Onderwijsdeel hbo,Bekostiging
INSTR-313,Gemeente Alkmaar,2024,246994000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-314,Gemeente Leiden,2022,246860000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-315,Stichting Hanzehogeschool Groningen,2023,246606000,Onderwijsdeel hbo,Bekostiging
INSTR-316,Gemeente Emmen,2023,245801000,Algemene uitkering en aanvullende uitkeringen,Bijdrage aan medeoverheden
INSTR-317,Gemeente Delft,2024,245422000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-318,Geanonimiseerde ontvanger(s) van Leningen voor Aanvullende beurs prestatiebeurs (NR),2024,244247000,Aanvullende beurs prestatiebeurs (NR),Leningen
INSTR-319,Gemeente Zoetermeer,2022,243721000,Algemene uitkering,Bijdrage aan medeoverheden
INSTR-320,Gemeente Venlo,2024,241664000,Algemene uitkering,Bijdrage aan medeoverheden
